# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = PK2_model
# start_datetime = 2024-11-20 09:01:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 4000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/ditilliof/Stanresults/RtmpCjSknZ/standata-2abaca62b34a5c.json
# init = 2 (Default)
# random
#   seed = 123456789
# output
#   file = /home/ditilliof/Phd material/Platinum-nephrotox/fitting_scripts/../Stanresults/PK2/2024-11-20_10-00-53/PK2-202411201001-1-8a246b.csv
#   diagnostic_file =  (Default)
#   refresh = 1
#   sig_figs = -1 (Default)
#   profile_file = /home/ditilliof/Phd material/Platinum-nephrotox/fitting_scripts/../Stanresults/PK2/2024-11-20_10-00-53/PK2-profile-202411201001-1-44356c.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=PK2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_PlasKid,k_ePlas,k_KidPlas,k_eKid,Plasma0,scale,z_hat1.1.1,z_hat1.2.1,z_hat1.3.1,z_hat1.4.1,z_hat1.5.1,z_hat1.6.1,z_hat1.7.1,z_hat1.8.1,z_hat1.9.1,z_hat1.10.1,z_hat1.11.1,z_hat1.12.1,z_hat1.13.1,z_hat1.14.1,z_hat1.15.1,z_hat1.16.1,z_hat1.1.2,z_hat1.2.2,z_hat1.3.2,z_hat1.4.2,z_hat1.5.2,z_hat1.6.2,z_hat1.7.2,z_hat1.8.2,z_hat1.9.2,z_hat1.10.2,z_hat1.11.2,z_hat1.12.2,z_hat1.13.2,z_hat1.14.2,z_hat1.15.2,z_hat1.16.2,z_hat2.1.1,z_hat2.2.1,z_hat2.3.1,z_hat2.4.1,z_hat2.5.1,z_hat2.6.1,z_hat2.7.1,z_hat2.8.1,z_hat2.9.1,z_hat2.10.1,z_hat2.1.2,z_hat2.2.2,z_hat2.3.2,z_hat2.4.2,z_hat2.5.2,z_hat2.6.2,z_hat2.7.2,z_hat2.8.2,z_hat2.9.2,z_hat2.10.2,y0.1,y0.2,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.0312949
# Diagonal elements of inverse mass matrix:
# 0.00507172, 0.578917, 0.0126237, 0.938135, 0.000387686, 0.00354448
-558.758,0.938466,0.0312949,6,95,0,559.847,2.08685,0.00150324,0.197258,0.0144527,49.9422,4.25985,40.6184,30.0792,18.8588,12.5178,8.93159,4.71395,4.13666,3.16497,1.66925,0.880381,0.337208,0.177847,0.0937992,0.0359274,0.00725887,0.000561645,9.30998,19.8091,30.927,37.1381,40.5793,44.1648,43.4589,33.2933,17.5593,9.26103,3.5472,1.87084,0.986706,0.377932,0.0763459,0.00590732,8.93159,3.16497,1.66925,0.880381,0.337208,0.177847,0.0937992,0.0359274,0.00725887,0.000561645,40.5793,33.2933,17.5593,9.26103,3.5472,1.87084,0.986706,0.377932,0.0763459,0.00590732,49.9422,0,2.08685,0.00150324,0.197258,0.0144527
-561.355,0.97224,0.0312949,6,63,0,563.405,1.96363,0.000431434,0.144591,0.0126296,49.9624,3.95572,41.115,30.8949,19.6381,12.9906,9.06352,4.0673,3.31437,2.61028,1.48233,0.841785,0.360235,0.204571,0.116172,0.0497148,0.0120818,0.00125662,8.83966,19.0305,30.2054,36.7445,40.5479,44.9911,44.6048,35.2442,20.0145,11.3658,4.86392,2.76213,1.56856,0.671252,0.163128,0.0169649,9.06352,2.61028,1.48233,0.841785,0.360235,0.204571,0.116172,0.0497148,0.0120818,0.00125662,40.5479,35.2442,20.0145,11.3658,4.86392,2.76213,1.56856,0.671252,0.163128,0.0169649,49.9624,0,1.96363,0.000431434,0.144591,0.0126296
-561.468,0.999202,0.0312949,6,63,0,562.409,1.90814,0.000572856,0.151901,0.0127529,50.5611,3.94327,41.8398,31.7057,20.4394,13.7059,9.6797,4.43888,3.60713,2.83632,1.60595,0.909301,0.38741,0.219355,0.1242,0.0529157,0.0127656,0.00131219,8.71294,18.8171,30.0004,36.6243,40.5253,45.2052,44.8786,35.4186,20.0543,11.3549,4.8378,2.7392,1.55096,0.66079,0.159405,0.0163833,9.6797,2.83632,1.60595,0.909301,0.38741,0.219355,0.1242,0.0529157,0.0127656,0.00131219,40.5253,35.4186,20.0543,11.3549,4.8378,2.7392,1.55096,0.66079,0.159405,0.0163833,50.5611,0,1.90814,0.000572856,0.151901,0.0127529
-559.76,0.976303,0.0312949,7,127,0,565.324,2.31859,0.00191134,0.18187,0.0130817,51.1549,4.61227,40.653,29.0931,17.2884,10.9696,7.58472,3.97819,3.57423,2.79502,1.55127,0.860981,0.355999,0.197585,0.109663,0.045343,0.010406,0.000987459,10.486,22.0034,33.7042,39.8951,43.1392,46.1431,45.3339,35.4734,19.6883,10.9273,4.51823,2.50768,1.3918,0.575485,0.132067,0.0125317,7.58472,2.79502,1.55127,0.860981,0.355999,0.197585,0.109663,0.045343,0.010406,0.000987459,43.1392,35.4734,19.6883,10.9273,4.51823,2.50768,1.3918,0.575485,0.132067,0.0125317,51.1549,0,2.31859,0.00191134,0.18187,0.0130817
-557.209,0.929567,0.0312949,6,127,0,562.431,2.1512,0.00091145,0.191438,0.0137649,49.8924,4.39612,40.3203,29.577,18.2665,11.9668,8.45555,4.436,3.91826,3.0358,1.64944,0.896186,0.358916,0.195009,0.105954,0.0424343,0.00923421,0.00080498,9.56115,20.2683,31.4826,37.6588,41.0318,44.448,43.7411,33.9264,18.4332,10.0153,4.01104,2.17931,1.18408,0.474215,0.103188,0.00899224,8.45555,3.0358,1.64944,0.896186,0.358916,0.195009,0.105954,0.0424343,0.00923421,0.00080498,41.0318,33.9264,18.4332,10.0153,4.01104,2.17931,1.18408,0.474215,0.103188,0.00899224,49.8924,0,2.1512,0.00091145,0.191438,0.0137649
-556.116,0.963775,0.0312949,7,255,0,561.297,2.03248,0.0305782,0.190879,0.0110911,48.2773,3.95339,39.3588,29.2351,18.3858,12.2021,8.67519,4.46505,3.88157,3.00365,1.62871,0.88316,0.352639,0.191217,0.103686,0.0414012,0.00896398,0.000775152,8.77994,18.7243,29.3274,35.306,38.6514,42.2263,41.63,32.2634,17.4946,9.48636,3.78784,2.05393,1.11373,0.444706,0.0962852,0.00832393,8.67519,3.00365,1.62871,0.88316,0.352639,0.191217,0.103686,0.0414012,0.00896398,0.000775152,38.6514,32.2634,17.4946,9.48636,3.78784,2.05393,1.11373,0.444706,0.0962852,0.00832393,48.2773,0,2.03248,0.0305782,0.190879,0.0110911
