# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = PK2_model
# start_datetime = 2024-11-20 09:01:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 4000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /home/ditilliof/Stanresults/RtmpCjSknZ/standata-2abaca62b34a5c.json
# init = 2 (Default)
# random
#   seed = 123456789
# output
#   file = /home/ditilliof/Phd material/Platinum-nephrotox/fitting_scripts/../Stanresults/PK2/2024-11-20_10-00-53/PK2-202411201001-4-8a246b.csv
#   diagnostic_file =  (Default)
#   refresh = 1
#   sig_figs = -1 (Default)
#   profile_file = /home/ditilliof/Phd material/Platinum-nephrotox/fitting_scripts/../Stanresults/PK2/2024-11-20_10-00-53/PK2-profile-202411201001-4-44356c.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=PK2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_PlasKid,k_ePlas,k_KidPlas,k_eKid,Plasma0,scale,z_hat1.1.1,z_hat1.2.1,z_hat1.3.1,z_hat1.4.1,z_hat1.5.1,z_hat1.6.1,z_hat1.7.1,z_hat1.8.1,z_hat1.9.1,z_hat1.10.1,z_hat1.11.1,z_hat1.12.1,z_hat1.13.1,z_hat1.14.1,z_hat1.15.1,z_hat1.16.1,z_hat1.1.2,z_hat1.2.2,z_hat1.3.2,z_hat1.4.2,z_hat1.5.2,z_hat1.6.2,z_hat1.7.2,z_hat1.8.2,z_hat1.9.2,z_hat1.10.2,z_hat1.11.2,z_hat1.12.2,z_hat1.13.2,z_hat1.14.2,z_hat1.15.2,z_hat1.16.2,z_hat2.1.1,z_hat2.2.1,z_hat2.3.1,z_hat2.4.1,z_hat2.5.1,z_hat2.6.1,z_hat2.7.1,z_hat2.8.1,z_hat2.9.1,z_hat2.10.1,z_hat2.1.2,z_hat2.2.2,z_hat2.3.2,z_hat2.4.2,z_hat2.5.2,z_hat2.6.2,z_hat2.7.2,z_hat2.8.2,z_hat2.9.2,z_hat2.10.2,y0.1,y0.2,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.0354414
# Diagonal elements of inverse mass matrix:
# 0.00462503, 0.722189, 0.0116221, 0.797175, 0.000378294, 0.00336658
-555.458,0.999086,0.0354414,7,127,0,560.041,1.8786,0.11722,0.181269,0.00305417,50.0524,4.54819,41.0708,30.769,19.5476,13.0154,9.21079,4.4924,3.79992,2.94642,1.60811,0.87768,0.353889,0.193148,0.105416,0.0425049,0.00935404,0.000830199,8.44807,18.1169,28.5977,34.6369,38.093,41.9756,41.4797,32.2359,17.5938,9.60244,3.8718,2.11316,1.15333,0.465035,0.102338,0.00908055,9.21079,2.94642,1.60811,0.87768,0.353889,0.193148,0.105416,0.0425049,0.00935404,0.000830199,38.093,32.2359,17.5938,9.60244,3.8718,2.11316,1.15333,0.465035,0.102338,0.00908055,50.0524,0,1.8786,0.11722,0.181269,0.00305417
-554.099,0.999393,0.0354414,6,63,0,558.821,2.07871,0.0342756,0.17217,0.0103671,50.2344,4.37244,40.7441,30.0125,18.5811,12.1169,8.45932,4.16027,3.59391,2.81309,1.5679,0.873883,0.363626,0.20267,0.11296,0.0470035,0.0109013,0.00105209,9.33002,19.8581,31.0186,37.2647,40.734,44.3935,43.7867,34.3253,19.1315,10.6631,4.43697,2.47298,1.37834,0.573532,0.133013,0.012836,8.45932,2.81309,1.5679,0.873883,0.363626,0.20267,0.11296,0.0470035,0.0109013,0.00105209,40.734,34.3253,19.1315,10.6631,4.43697,2.47298,1.37834,0.573532,0.133013,0.012836,50.2344,0,2.07871,0.0342756,0.17217,0.0103671
-554.925,0.941451,0.0354414,7,127,0,558.426,2.2525,0.0430058,0.218976,0.00977749,49.8044,4.09045,39.6938,28.5757,17.2393,11.1826,7.94378,4.49801,4.09525,3.17602,1.72756,0.939681,0.376967,0.205046,0.111532,0.044743,0.00976309,0.000854744,9.914,20.7912,31.8219,37.6435,40.6851,43.4735,42.6706,33.1101,18.0098,9.79619,3.92989,2.13761,1.16273,0.466444,0.101782,0.00890967,7.94378,3.17602,1.72756,0.939681,0.376967,0.205046,0.111532,0.044743,0.00976309,0.000854744,40.6851,33.1101,18.0098,9.79619,3.92989,2.13761,1.16273,0.466444,0.101782,0.00890967,49.8044,0,2.2525,0.0430058,0.218976,0.00977749
-554.265,0.99907,0.0354414,7,127,0,556.858,2.21694,0.0696175,0.209557,0.00726846,50.278,4.00169,40.101,28.8816,17.3967,11.2293,7.91464,4.35859,3.94415,3.06822,1.68151,0.921537,0.373879,0.204901,0.112294,0.0455593,0.0101304,0.000913922,9.86011,20.7059,31.7497,37.6099,40.6895,43.5536,42.7746,33.2951,18.2471,10.0001,4.05719,2.22351,1.21857,0.494391,0.109926,0.00991633,7.91464,3.06822,1.68151,0.921537,0.373879,0.204901,0.112294,0.0455593,0.0101304,0.000913922,40.6895,33.2951,18.2471,10.0001,4.05719,2.22351,1.21857,0.494391,0.109926,0.00991633,50.278,0,2.21694,0.0696175,0.209557,0.00726846
-555.658,0.941122,0.0354414,7,127,0,557.793,2.16967,0.138191,0.199863,0.00156494,50.8552,4.16414,40.4684,29.0263,17.3271,11.0545,7.6887,4.09044,3.68077,2.86442,1.57139,0.862043,0.350268,0.192154,0.105412,0.0428312,0.00954807,0.000864958,9.75791,20.4836,31.3925,37.1726,40.2053,43.0165,42.2454,32.8967,18.0468,9.90025,4.02268,2.2068,1.21062,0.491903,0.109646,0.0099305,7.6887,2.86442,1.57139,0.862043,0.350268,0.192154,0.105412,0.0428312,0.00954807,0.000864958,40.2053,32.8967,18.0468,9.90025,4.02268,2.2068,1.21062,0.491903,0.109646,0.0099305,50.8552,0,2.16967,0.138191,0.199863,0.00156494
-557.28,0.82899,0.0354414,7,127,0,558.482,2.02312,0.139962,0.207296,0.00141524,50.0605,4.39383,40.4135,29.6039,18.2529,11.9516,8.45084,4.46474,3.94897,3.00565,1.5646,0.81445,0.305885,0.159229,0.0828868,0.0311299,0.00608636,0.000446966,9.01589,19.0941,29.6185,35.3905,38.5271,41.6509,40.9059,31.166,16.2235,8.44514,3.17176,1.65106,0.85946,0.32279,0.0631065,0.0046336,8.45084,3.00565,1.5646,0.81445,0.305885,0.159229,0.0828868,0.0311299,0.00608636,0.000446966,38.5271,31.166,16.2235,8.44514,3.17176,1.65106,0.85946,0.32279,0.0631065,0.0046336,50.0605,0,2.02312,0.139962,0.207296,0.00141524
