"","X1.k_PlasKid","X1.k_ePlas","X1.k_KidPlas","X1.k_eKid","X1.scale","X1.Plasma0","X2.k_PlasKid","X2.k_ePlas","X2.k_KidPlas","X2.k_eKid","X2.scale","X2.Plasma0","X3.k_PlasKid","X3.k_ePlas","X3.k_KidPlas","X3.k_eKid","X3.scale","X3.Plasma0","X4.k_PlasKid","X4.k_ePlas","X4.k_KidPlas","X4.k_eKid","X4.scale","X4.Plasma0"
"1",2.08685,0.00150324,0.197258,0.0144527,4.25985,49.9422,2.13907,0.0547987,0.229399,0.00868948,4.364,47.5191,2.25983,0.0461656,0.226539,0.0098894,3.90623,50.2903,1.8786,0.11722,0.181269,0.00305417,4.54819,50.0524
"2",1.96363,0.000431434,0.144591,0.0126296,3.95572,49.9624,2.19523,0.122812,0.193472,0.00267173,3.95539,49.553,2.25763,0.0465452,0.205915,0.00943379,3.98197,49.4019,2.07871,0.0342756,0.17217,0.0103671,4.37244,50.2344
"3",1.90814,0.000572856,0.151901,0.0127529,3.94327,50.5611,2.22821,0.129355,0.195028,0.00203473,3.964,49.5177,2.13618,0.0251721,0.186914,0.0116155,4.21392,50.4954,2.2525,0.0430058,0.218976,0.00977749,4.09045,49.8044
"4",2.31859,0.00191134,0.18187,0.0130817,4.61227,51.1549,2.19435,0.121886,0.196937,0.00246688,3.98231,49.5897,2.07086,0.0613709,0.195726,0.00797827,4.3428,49.4714,2.21694,0.0696175,0.209557,0.00726846,4.00169,50.278
"5",2.1512,0.00091145,0.191438,0.0137649,4.39612,49.8924,1.94388,0.0438413,0.184117,0.00990246,4.11932,50.4555,2.2725,0.0156259,0.194544,0.0122508,4.17114,49.7185,2.16967,0.138191,0.199863,0.00156494,4.16414,50.8552
"6",2.03248,0.0305782,0.190879,0.0110911,3.95339,48.2773,1.90997,0.0407963,0.168099,0.00957507,4.25658,48.3934,1.98017,0.135639,0.172438,0.00153878,4.56885,51.7288,2.02312,0.139962,0.207296,0.00141524,4.39383,50.0605
"7",2.13538,0.0799129,0.200137,0.00575431,4.06757,48.5995,2.00581,0.0189472,0.170458,0.0114086,4.44528,48.5711,1.94594,0.0689522,0.176327,0.00693627,4.10684,48.404,2.09113,0.0185581,0.167879,0.0117434,4.01385,51.112
"8",2.25892,0.0255101,0.207839,0.0109665,4.39938,49.9102,2.13584,0.0032284,0.193591,0.0129615,4.41161,47.1631,1.88108,0.0577998,0.171948,0.00844595,4.25259,49.1071,2.15814,0.0235054,0.166086,0.0111,4.08436,50.9772
"9",2.17519,0.0389776,0.199902,0.00927116,4.32964,49.8325,2.16296,0.00133059,0.200541,0.0134476,4.17883,48.7047,2.06367,0.0938821,0.170921,0.00495354,4.23568,49.358,2.18686,0.0228107,0.16735,0.0111312,4.08584,50.9675
"10",2.09293,0.124747,0.182753,0.0035911,4.03496,51.0286,2.30212,0.00367049,0.193113,0.0132607,4.33375,50.3092,2.03669,0.0400606,0.185449,0.0109172,4.14061,50.731,2.10879,0.0882345,0.17878,0.00570302,3.92647,50.5809
