"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-556.1957735,-555.8385,1.80971911633208,1.63011869999997,-559.6384,-553.93695,1.00353951638661,1257.07692850413,1784.95811381688
"2","k_PlasKid",2.097378755,2.08948,0.148008038367872,0.147904176,1.866141,2.3517185,1.00039295584138,2081.22307077914,1967.08381854028
"3","k_ePlas",0.0756071216826475,0.07644605,0.0427802026297078,0.05434892841,0.0080680405,0.1408761,1.00380501838112,1386.04198540025,997.106556683803
"4","k_KidPlas",0.19308284,0.1922795,0.0209845420737364,0.0206474289,0.16104955,0.2294057,1.0004677426031,2243.63495173948,1792.50014492019
"5","k_eKid",0.00674218312544,0.006741905,0.00392733100631816,0.005021692221,0.000592656,0.012794865,1.00486167724742,1396.39958189435,1215.12714620039
"6","Plasma0",49.87647425,49.88745,0.961645608379702,0.967174109999998,48.297885,51.415715,1.00139210689845,3063.3890522259,2479.03486773051
"7","scale",4.25197944,4.251795,0.244035986768337,0.247186485000001,3.8635675,4.6598,1.00308981598008,3333.93775222746,2394.52838331349
"8","z_hat1[1,1]",40.223631225,40.2413,0.829893735712979,0.844192439999997,38.854895,41.552415,1.00043721681813,2885.2451596394,2440.6271544839
"9","z_hat1[2,1]",29.42134595,29.463,0.97849829698518,0.976736879999996,27.74836,30.961745,1.00191147367818,2491.63656904403,2344.39730991319
"10","z_hat1[3,1]",18.09197755,18.11155,1.00539999998309,1.02232683,16.36,19.65073,1.00023445500049,2372.71959064822,2477.81983478751
"11","z_hat1[4,1]",11.804817585,11.8017,0.812981008211659,0.8265495,10.447765,13.09717,1.00029374453237,2418.9998831378,2548.73246841125
"12","z_hat1[5,1]",8.30802368,8.292755,0.584868431348799,0.592291286999999,7.3577595,9.2582025,1.00055114727209,2537.56846923504,2859.58558470855
"13","z_hat1[6,1]",4.303478065,4.301655,0.198337345419245,0.203449785,3.9771955,4.624029,1.00168117818881,3957.29983793531,2875.17057712513
"14","z_hat1[7,1]",3.7835545075,3.785445,0.222162530283626,0.221633874,3.422946,4.1483755,1.00093665302739,2742.71242292198,2526.17944781962
"15","z_hat1[8,1]",2.94537015,2.949295,0.152183658116524,0.150669225,2.6991655,3.192573,1.00117552852332,2720.56662098603,2447.53616792376
"16","z_hat1[9,1]",1.6200386425,1.621,0.0648584132674789,0.065130618,1.511283,1.724983,1.00010075734282,2880.77700402861,2847.6752469155
"17","z_hat1[10,1]",0.89165001875,0.8920305,0.0381182407860404,0.0371220801,0.8269935,0.9545848,1.00074682701404,3637.80517541388,2442.4937132485
"18","z_hat1[11,1]",0.36452610575,0.3649875,0.0246566681717218,0.0245414778,0.32301805,0.40441215,1.00160861717778,4124.25276128242,2857.63287087137
"19","z_hat1[12,1]",0.20095768125,0.2009355,0.0179904737035373,0.0180684462,0.1713496,0.230099,1.00100196223971,3966.36408417843,3169.6496917122
"20","z_hat1[13,1]",0.11085686325,0.1106945,0.0125159392780905,0.0125516916,0.09060058,0.13132945,1.00062977415383,3834.1680618185,3211.03706103448
"21","z_hat1[14,1]",0.04547548195,0.0452628,0.00679047699056768,0.00670995108,0.0347294,0.056912415,1.00016175951218,3701.97478146975,3323.83655446318
"22","z_hat1[15,1]",0.01033251932,0.01016835,0.00218997733789018,0.00214991826,0.007011773,0.014093805,1.00005712526052,3570.8861356713,3212.07981866715
"23","z_hat1[16,1]",0.00097327525825,0.0009355385,0.000307304393454903,0.0002917119282,0.000541267,0.001524004,1.00012346866193,3479.19070398279,2985.70853723176
"24","z_hat1[1,2]",9.31025473,9.28669,0.653500710985452,0.662588766,8.2839925,10.44107,1.00174385613507,2155.03449541121,2016.89045938399
"25","z_hat1[2,2]",19.705877,19.6655,1.2004496821945,1.22292261,17.786065,21.768915,1.00151121272036,2151.71056410047,1994.32335416097
"26","z_hat1[3,2]",30.5526053,30.52905,1.49513443457144,1.50157728,28.11203,33.048245,1.00115214736095,2150.28477311137,1963.77665076078
"27","z_hat1[4,2]",36.505103125,36.5182,1.48993856499676,1.49994642,34.06921,38.94039,1.00125773536267,2159.04255862637,2005.97883427376
"28","z_hat1[5,2]",39.749588075,39.76695,1.42114859147981,1.45354104,37.434295,42.020255,1.00176850243284,2171.43623217942,2061.5413438313
"29","z_hat1[6,2]",43.043890125,43.036,1.28968944553969,1.3113597,40.94998,45.18832,1.00170713613032,2206.53173827912,1803.9629664301
"30","z_hat1[7,2]",42.38764325,42.36635,1.25257121991912,1.27674099,40.360665,44.519815,1.00100634804542,2230.53343897858,1976.40657617396
"31","z_hat1[8,2]",33.056321425,33.03735,1.09023518123663,1.09942203000001,31.314295,34.952025,1.00062463199398,2436.22633336066,2256.51838622725
"32","z_hat1[9,2]",18.20491815,18.18795,0.916773683725908,0.91409703,16.722875,19.732055,1.00082149908997,2937.90022239294,2917.3763492326
"33","z_hat1[10,2]",10.032470195,10.02095,0.730406435412357,0.732826940999999,8.8565595,11.261725,1.00046776518882,3164.9794045179,2896.41749917795
"34","z_hat1[11,2]",4.1093194375,4.094965,0.448784317914586,0.446025384,3.4011045,4.867605,1.00062487969474,3279.08906365263,3016.94367128154
"35","z_hat1[12,2]",2.2682945125,2.255175,0.304450653867375,0.304844799,1.7906375,2.7870545,1.0005013592131,3304.16471251757,3017.00089226198
"36","z_hat1[13,2]",1.2528882065,1.240755,0.199912740584384,0.197712123,0.9425215,1.5977945,1.0004957695683,3318.43971412162,3016.96263427166
"37","z_hat1[14,2]",0.51494634,0.507114,0.101988489075012,0.1002860292,0.3609759,0.69129035,1.00045430909637,3327.02788465121,3089.93736495692
"38","z_hat1[15,2]",0.11737854575,0.1140755,0.030919682666892,0.02959128753,0.07284107,0.17203585,1.00071958184281,3329.06407459698,3064.81780985717
"39","z_hat1[16,2]",0.0111110789625,0.0104759,0.00412993748305122,0.003746596917,0.005607715,0.01859925,1.00071622342595,3326.18641880641,3040.27925050708
