# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = PK3_model
# start_datetime = 2024-07-22 13:15:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 4000
#     num_warmup = 6000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/ditilliof/Platinum-nephrotox/Stanresults/RtmpWdIcLb/standata-17f1b9349efb.json
# init = 2 (Default)
# random
#   seed = 1234
# output
#   file = /home/ditilliof/Platinum-nephrotox/Stanresults/PK3/2024-07-22_15-15-34/PK3-202407221515-1-03f5c9.csv
#   diagnostic_file =  (Default)
#   refresh = 1
#   sig_figs = -1 (Default)
#   profile_file = /home/ditilliof/Platinum-nephrotox/Stanresults/PK3/2024-07-22_15-15-34/PK3-profile-202407221515-1-96cece.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=PK3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_PlasKid,k_ePlas,k_KidPlas,k_eKid,Plasma0,k_AccuKid,k_KidAccu,scale,z_hat1.1.1,z_hat1.2.1,z_hat1.3.1,z_hat1.4.1,z_hat1.5.1,z_hat1.6.1,z_hat1.7.1,z_hat1.8.1,z_hat1.9.1,z_hat1.10.1,z_hat1.11.1,z_hat1.12.1,z_hat1.13.1,z_hat1.14.1,z_hat1.15.1,z_hat1.16.1,z_hat1.1.2,z_hat1.2.2,z_hat1.3.2,z_hat1.4.2,z_hat1.5.2,z_hat1.6.2,z_hat1.7.2,z_hat1.8.2,z_hat1.9.2,z_hat1.10.2,z_hat1.11.2,z_hat1.12.2,z_hat1.13.2,z_hat1.14.2,z_hat1.15.2,z_hat1.16.2,z_hat1.1.3,z_hat1.2.3,z_hat1.3.3,z_hat1.4.3,z_hat1.5.3,z_hat1.6.3,z_hat1.7.3,z_hat1.8.3,z_hat1.9.3,z_hat1.10.3,z_hat1.11.3,z_hat1.12.3,z_hat1.13.3,z_hat1.14.3,z_hat1.15.3,z_hat1.16.3,z_hat2.1.1,z_hat2.2.1,z_hat2.3.1,z_hat2.4.1,z_hat2.5.1,z_hat2.6.1,z_hat2.7.1,z_hat2.8.1,z_hat2.9.1,z_hat2.10.1,z_hat2.1.2,z_hat2.2.2,z_hat2.3.2,z_hat2.4.2,z_hat2.5.2,z_hat2.6.2,z_hat2.7.2,z_hat2.8.2,z_hat2.9.2,z_hat2.10.2,z_hat2.1.3,z_hat2.2.3,z_hat2.3.3,z_hat2.4.3,z_hat2.5.3,z_hat2.6.3,z_hat2.7.3,z_hat2.8.3,z_hat2.9.3,z_hat2.10.3,y0.1,y0.2,y0.3,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6
# Adaptation terminated
# Step size = 0.0321252
# Diagonal elements of inverse mass matrix:
# 0.00401547, 0.876791, 0.00938786, 0.992996, 0.00037686, 0.032861, 0.00869827, 0.00685939
-52.6596,0.995105,0.0321252,7,127,0,54.243,2.0779,0.0918584,0.197132,0.00263834,48.8524,0.000673328,0.00444556,4.28834,39.4098,28.8314,17.7265,11.5642,8.1419,4.24749,3.74307,2.81796,1.43912,0.747344,0.297821,0.173817,0.111107,0.069531,0.0488509,0.0412906,9.03557,19.1329,29.6715,35.4462,38.5802,41.6804,40.8867,30.8145,15.7386,8.17494,3.25989,1.90399,1.21826,0.76359,0.537282,0.454349,0.00208781,0.011679,0.0393759,0.0758739,0.117172,0.298402,0.665794,3.80089,8.37846,10.5279,11.6802,11.834,11.777,11.5171,10.9418,10.0043,8.1419,2.81796,1.43912,0.747344,0.297821,0.173817,0.111107,0.069531,0.0488509,0.0412906,38.5802,30.8145,15.7386,8.17494,3.25989,1.90399,1.21826,0.76359,0.537282,0.454349,0.117172,3.80089,8.37846,10.5279,11.6802,11.834,11.777,11.5171,10.9418,10.0043,48.8524,0,0,2.0779,0.0918584,0.197132,0.00263834,0.000673328,0.00444556
-52.6519,0.996968,0.0321252,6,63,0,54.7086,2.02261,0.0578893,0.215986,0.00566523,48.827,0.000617069,0.00474349,4.52272,39.748,29.4914,18.5821,12.4238,8.94427,4.8542,4.27719,3.1738,1.56587,0.7859,0.298853,0.170385,0.107589,0.067578,0.048748,0.0420812,8.81894,18.7554,29.2606,35.1143,38.3456,41.6538,40.8566,30.3538,14.9776,7.51895,2.86135,1.63277,1.03219,0.649482,0.469251,0.405252,0.00217199,0.0121854,0.0412525,0.0797521,0.123484,0.316376,0.708317,4.03106,8.78377,10.9469,12.0616,12.1967,12.1314,11.8737,11.3202,10.4249,8.94427,3.1738,1.56587,0.7859,0.298853,0.170385,0.107589,0.067578,0.048748,0.0420812,38.3456,30.3538,14.9776,7.51895,2.86135,1.63277,1.03219,0.649482,0.469251,0.405252,0.123484,4.03106,8.78377,10.9469,12.0616,12.1967,12.1314,11.8737,11.3202,10.4249,48.827,0,0,2.02261,0.0578893,0.215986,0.00566523,0.000617069,0.00474349
-51.9539,0.996363,0.0321252,7,127,0,56.9847,2.29661,0.0482676,0.213368,0.00612187,50.9134,0.000401471,0.00395496,4.03831,40.3773,28.8528,17.1995,11.0407,7.78261,4.38135,3.99375,3.06227,1.62657,0.871391,0.352873,0.201087,0.121057,0.0657851,0.0377868,0.0298794,10.3114,21.5633,32.8761,38.7774,41.822,44.5195,43.6218,33.4638,17.7757,9.52385,3.85793,2.19932,1.3248,0.720809,0.414809,0.328295,0.00212627,0.011795,0.039305,0.0750391,0.115043,0.288212,0.637093,3.65019,8.23599,10.5603,12.008,12.3312,12.4182,12.3378,12.0025,11.3735,7.78261,3.06227,1.62657,0.871391,0.352873,0.201087,0.121057,0.0657851,0.0377868,0.0298794,41.822,33.4638,17.7757,9.52385,3.85793,2.19932,1.3248,0.720809,0.414809,0.328295,0.115043,3.65019,8.23599,10.5603,12.008,12.3312,12.4182,12.3378,12.0025,11.3735,50.9134,0,0,2.29661,0.0482676,0.213368,0.00612187,0.000401471,0.00395496
-50.9627,0.992019,0.0321252,6,95,0,56.9308,2.16132,0.0312911,0.214844,0.00764955,50.3024,0.000459713,0.00504025,3.57535,40.4988,29.5773,18.2123,11.9769,8.55266,4.72981,4.23679,3.17884,1.60679,0.823046,0.317826,0.179894,0.110841,0.0658442,0.0445993,0.0383368,9.65582,20.3852,31.4836,37.4929,40.7136,43.8054,42.9221,32.2303,16.2928,8.34707,3.22504,1.82665,1.12654,0.670305,0.454827,0.391174,0.00253147,0.0141326,0.047515,0.0913518,0.140823,0.357154,0.794833,4.53148,10.0115,12.6281,14.1213,14.3978,14.427,14.2639,13.8125,13.0293,8.55266,3.17884,1.60679,0.823046,0.317826,0.179894,0.110841,0.0658442,0.0445993,0.0383368,40.7136,32.2303,16.2928,8.34707,3.22504,1.82665,1.12654,0.670305,0.454827,0.391174,0.140823,4.53148,10.0115,12.6281,14.1213,14.3978,14.427,14.2639,13.8125,13.0293,50.3024,0,0,2.16132,0.0312911,0.214844,0.00764955,0.000459713,0.00504025
-50.8779,0.982207,0.0321252,7,127,0,53.9358,1.92295,0.0929658,0.184597,0.00181915,49.4164,0.000507115,0.00446691,4.0104,40.4707,30.2421,19.155,12.7417,9.02954,4.47648,3.81358,2.90163,1.52053,0.806684,0.326457,0.188942,0.117562,0.069036,0.0446872,0.037136,8.52665,18.2532,28.7403,34.7394,38.145,41.8851,41.2827,31.4747,16.4951,8.7526,3.54392,2.05239,1.27815,0.751754,0.487531,0.405448,0.00197439,0.0111256,0.037902,0.0736517,0.114516,0.296427,0.668779,3.87518,8.68287,11.0553,12.4624,12.7376,12.7748,12.6236,12.183,11.4082,9.02954,2.90163,1.52053,0.806684,0.326457,0.188942,0.117562,0.069036,0.0446872,0.037136,38.145,31.4747,16.4951,8.7526,3.54392,2.05239,1.27815,0.751754,0.487531,0.405448,0.114516,3.87518,8.68287,11.0553,12.4624,12.7376,12.7748,12.6236,12.183,11.4082,49.4164,0,0,1.92295,0.0929658,0.184597,0.00181915,0.000507115,0.00446691
-54.8504,0.999607,0.0321252,7,127,0,57.8734,2.09543,0.00429901,0.173646,0.00906562,49.4877,0.000389894,0.00429263,3.55816,40.1929,29.6704,18.4414,12.0765,8.46654,4.20334,3.63193,2.81666,1.54131,0.850748,0.360015,0.210795,0.12982,0.0719764,0.0412203,0.0321201,9.26917,19.7397,30.8572,37.0915,40.5604,44.2235,43.5861,33.8545,18.5268,10.2273,4.32937,2.53595,1.56273,0.86751,0.497782,0.388298,0.00206523,0.011597,0.0393133,0.0760901,0.11793,0.302997,0.680726,3.9687,9.07759,11.7554,13.5082,13.9394,14.0889,14.0529,13.7313,13.0788,8.46654,2.81666,1.54131,0.850748,0.360015,0.210795,0.12982,0.0719764,0.0412203,0.0321201,40.5604,33.8545,18.5268,10.2273,4.32937,2.53595,1.56273,0.86751,0.497782,0.388298,0.11793,3.9687,9.07759,11.7554,13.5082,13.9394,14.0889,14.0529,13.7313,13.0788,49.4877,0,0,2.09543,0.00429901,0.173646,0.00906562,0.000389894,0.00429263
