# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = PK3_model
# start_datetime = 2024-07-22 13:15:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 4000
#     num_warmup = 6000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /home/ditilliof/Stanresults/RtmpWdIcLb/standata-17f1b9349efb.json
# init = 2 (Default)
# random
#   seed = 1234
# output
#   file = /home/ditilliof/Stanresults/PK3/2024-07-22_15-15-34/PK3-202407221515-4-03f5c9.csv
#   diagnostic_file =  (Default)
#   refresh = 1
#   sig_figs = -1 (Default)
#   profile_file = /home/ditilliof/Stanresults/PK3/2024-07-22_15-15-34/PK3-profile-202407221515-4-96cece.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=PK3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_PlasKid,k_ePlas,k_KidPlas,k_eKid,Plasma0,k_AccuKid,k_KidAccu,scale,z_hat1.1.1,z_hat1.2.1,z_hat1.3.1,z_hat1.4.1,z_hat1.5.1,z_hat1.6.1,z_hat1.7.1,z_hat1.8.1,z_hat1.9.1,z_hat1.10.1,z_hat1.11.1,z_hat1.12.1,z_hat1.13.1,z_hat1.14.1,z_hat1.15.1,z_hat1.16.1,z_hat1.1.2,z_hat1.2.2,z_hat1.3.2,z_hat1.4.2,z_hat1.5.2,z_hat1.6.2,z_hat1.7.2,z_hat1.8.2,z_hat1.9.2,z_hat1.10.2,z_hat1.11.2,z_hat1.12.2,z_hat1.13.2,z_hat1.14.2,z_hat1.15.2,z_hat1.16.2,z_hat1.1.3,z_hat1.2.3,z_hat1.3.3,z_hat1.4.3,z_hat1.5.3,z_hat1.6.3,z_hat1.7.3,z_hat1.8.3,z_hat1.9.3,z_hat1.10.3,z_hat1.11.3,z_hat1.12.3,z_hat1.13.3,z_hat1.14.3,z_hat1.15.3,z_hat1.16.3,z_hat2.1.1,z_hat2.2.1,z_hat2.3.1,z_hat2.4.1,z_hat2.5.1,z_hat2.6.1,z_hat2.7.1,z_hat2.8.1,z_hat2.9.1,z_hat2.10.1,z_hat2.1.2,z_hat2.2.2,z_hat2.3.2,z_hat2.4.2,z_hat2.5.2,z_hat2.6.2,z_hat2.7.2,z_hat2.8.2,z_hat2.9.2,z_hat2.10.2,z_hat2.1.3,z_hat2.2.3,z_hat2.3.3,z_hat2.4.3,z_hat2.5.3,z_hat2.6.3,z_hat2.7.3,z_hat2.8.3,z_hat2.9.3,z_hat2.10.3,y0.1,y0.2,y0.3,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6
# Adaptation terminated
# Step size = 0.0384747
# Diagonal elements of inverse mass matrix:
# 0.00416597, 0.659224, 0.00995199, 0.910921, 0.000363075, 0.0326174, 0.00813611, 0.00646036
-51.2329,0.988486,0.0384747,7,127,0,58.2914,2.48706,0.0841827,0.252026,0.0028969,50.4991,0.000530065,0.00452619,4.24878,39.182,27.1918,15.6572,9.94476,7.11179,4.45817,4.17276,3.1358,1.58923,0.816517,0.317063,0.180244,0.111533,0.066534,0.0449746,0.0382074,10.9376,22.4949,33.5396,38.9217,41.5038,43.397,42.3284,31.8151,16.1252,8.2861,3.2191,1.83105,1.13395,0.677356,0.458539,0.38973,0.00259195,0.0142182,0.0466549,0.0880077,0.133676,0.328069,0.71597,4.02297,8.86371,11.1594,12.438,12.6496,12.641,12.4447,11.9615,11.1471,7.11179,3.1358,1.58923,0.816517,0.317063,0.180244,0.111533,0.066534,0.0449746,0.0382074,41.5038,31.8151,16.1252,8.2861,3.2191,1.83105,1.13395,0.677356,0.458539,0.38973,0.133676,4.02297,8.86371,11.1594,12.438,12.6496,12.641,12.4447,11.9615,11.1471,50.4991,0,0,2.48706,0.0841827,0.252026,0.0028969,0.000530065,0.00452619
-50.5453,0.882516,0.0384747,6,127,0,53.8847,2.38192,0.0656225,0.238322,0.00475587,50.7087,0.000389609,0.00467462,3.94949,39.8212,28.0936,16.516,10.5851,7.5432,4.5278,4.18896,3.13878,1.5779,0.801721,0.302984,0.167374,0.0997414,0.0559513,0.0356747,0.0302559,10.5869,21.9605,33.1163,38.7448,41.5457,43.7961,42.755,32.0453,16.1106,8.1867,3.09514,1.7107,1.02023,0.573153,0.366099,0.310674,0.00258556,0.0142649,0.0471782,0.0895371,0.136634,0.338718,0.743491,4.196,9.26064,11.6852,13.0855,13.359,13.406,13.2867,12.9218,12.2758,7.5432,3.13878,1.5779,0.801721,0.302984,0.167374,0.0997414,0.0559513,0.0356747,0.0302559,41.5457,32.0453,16.1106,8.1867,3.09514,1.7107,1.02023,0.573153,0.366099,0.310674,0.136634,4.196,9.26064,11.6852,13.0855,13.359,13.406,13.2867,12.9218,12.2758,50.7087,0,0,2.38192,0.0656225,0.238322,0.00475587,0.000389609,0.00467462
-54.1053,0.986976,0.0384747,5,63,0,59.4344,2.22197,0.0488363,0.24178,0.00696061,50.6099,0.000470978,0.00539708,4.07454,40.4449,29.2626,17.8532,11.7511,8.48352,4.98791,4.54053,3.30515,1.55383,0.742443,0.262555,0.143589,0.0881578,0.0548516,0.0406111,0.0362252,9.93732,20.8377,31.8835,37.7002,40.7247,43.3956,42.3258,30.8258,14.4934,6.92661,2.45124,1.34177,0.824791,0.514121,0.381226,0.34017,0.0027944,0.0155297,0.0518798,0.0992345,0.152352,0.38268,0.845689,4.73344,10.1585,12.5482,13.7559,13.9157,13.8736,13.6556,13.1754,12.389,8.48352,3.30515,1.55383,0.742443,0.262555,0.143589,0.0881578,0.0548516,0.0406111,0.0362252,40.7247,30.8258,14.4934,6.92661,2.45124,1.34177,0.824791,0.514121,0.381226,0.34017,0.152352,4.73344,10.1585,12.5482,13.7559,13.9157,13.8736,13.6556,13.1754,12.389,50.6099,0,0,2.22197,0.0488363,0.24178,0.00696061,0.000470978,0.00539708
-49.6987,0.973291,0.0384747,6,63,0,56.2623,2.27694,0.0342521,0.208448,0.00762385,50.6864,0.000505427,0.00470761,3.76412,40.3295,28.9491,17.3588,11.1758,7.8741,4.36869,3.95483,2.98017,1.52153,0.787372,0.308727,0.176357,0.109421,0.0652527,0.0439384,0.0373626,10.1952,21.3696,32.6816,38.6344,41.7316,44.5102,43.5576,32.8415,16.7687,8.67903,3.40478,1.94617,1.20853,0.721784,0.486809,0.414179,0.00250094,0.0138949,0.0464014,0.0887339,0.136211,0.342148,0.757016,4.30319,9.52677,12.0329,13.4609,13.7165,13.7303,13.547,13.0642,12.2356,7.8741,2.98017,1.52153,0.787372,0.308727,0.176357,0.109421,0.0652527,0.0439384,0.0373626,41.7316,32.8415,16.7687,8.67903,3.40478,1.94617,1.20853,0.721784,0.486809,0.414179,0.136211,4.30319,9.52677,12.0329,13.4609,13.7165,13.7303,13.547,13.0642,12.2356,50.6864,0,0,2.27694,0.0342521,0.208448,0.00762385,0.000505427,0.00470761
-51.1525,0.877943,0.0384747,6,127,0,53.6943,2.16915,0.0789955,0.218303,0.00413108,51.2875,0.00062577,0.00467172,4.2524,41.0654,29.7533,18.104,11.7987,8.38233,4.65769,4.19047,3.10166,1.51944,0.757421,0.285553,0.162244,0.102377,0.0645149,0.0468211,0.0404718,9.85447,20.7305,31.8598,37.7988,40.9323,43.8172,42.838,31.7289,15.5452,7.75076,2.92416,1.66282,1.05041,0.663019,0.481885,0.416694,0.00239675,0.0133484,0.044727,0.0857584,0.131914,0.332832,0.737896,4.16346,9.03719,11.2348,12.3477,12.4715,12.3938,12.1181,11.5378,10.6054,8.38233,3.10166,1.51944,0.757421,0.285553,0.162244,0.102377,0.0645149,0.0468211,0.0404718,40.9323,31.7289,15.5452,7.75076,2.92416,1.66282,1.05041,0.663019,0.481885,0.416694,0.131914,4.16346,9.03719,11.2348,12.3477,12.4715,12.3938,12.1181,11.5378,10.6054,51.2875,0,0,2.16915,0.0789955,0.218303,0.00413108,0.00062577,0.00467172
-53.14,0.998538,0.0384747,7,127,0,55.4324,2.14348,0.0256565,0.211223,0.00896871,47.9534,0.000458126,0.00436681,4.5738,38.6958,28.3491,17.5273,11.5505,8.24655,4.5144,4.02503,3.01488,1.51696,0.772161,0.293576,0.163401,0.0984239,0.0562575,0.036521,0.0308773,9.14054,19.3303,29.9245,35.6996,38.8164,41.8553,41.0237,30.7557,15.4762,7.87886,2.99703,1.66913,1.00632,0.576142,0.374741,0.317025,0.00207532,0.0115993,0.0390607,0.0751942,0.116034,0.294976,0.657394,3.74936,8.27144,10.4187,11.6291,11.8435,11.8551,11.7036,11.3062,10.6252,8.24655,3.01488,1.51696,0.772161,0.293576,0.163401,0.0984239,0.0562575,0.036521,0.0308773,38.8164,30.7557,15.4762,7.87886,2.99703,1.66913,1.00632,0.576142,0.374741,0.317025,0.116034,3.74936,8.27144,10.4187,11.6291,11.8435,11.8551,11.7036,11.3062,10.6252,47.9534,0,0,2.14348,0.0256565,0.211223,0.00896871,0.000458126,0.00436681
