"","X1.k_PlasKid","X1.k_ePlas","X1.k_KidPlas","X1.k_eKid","X1.k_AccuKid","X1.k_KidAccu","X1.scale","X1.Plasma0","X2.k_PlasKid","X2.k_ePlas","X2.k_KidPlas","X2.k_eKid","X2.k_AccuKid","X2.k_KidAccu","X2.scale","X2.Plasma0","X3.k_PlasKid","X3.k_ePlas","X3.k_KidPlas","X3.k_eKid","X3.k_AccuKid","X3.k_KidAccu","X3.scale","X3.Plasma0","X4.k_PlasKid","X4.k_ePlas","X4.k_KidPlas","X4.k_eKid","X4.k_AccuKid","X4.k_KidAccu","X4.scale","X4.Plasma0"
"1",2.0779,0.0918584,0.197132,0.00263834,0.000673328,0.00444556,4.28834,48.8524,2.29191,0.0625431,0.233792,0.00419985,0.000374402,0.00426933,4.27225,48.5063,2.08798,0.103673,0.238264,4.2378e-05,0.000449841,0.00481061,4.18229,47.6945,2.48706,0.0841827,0.252026,0.0028969,0.000530065,0.00452619,4.24878,50.4991
"2",2.02261,0.0578893,0.215986,0.00566523,0.000617069,0.00474349,4.52272,48.827,2.19561,0.0723359,0.231451,0.00341779,0.000410575,0.00465335,4.23891,48.5397,2.15481,0.0538118,0.197841,0.00572281,0.000424456,0.00413853,3.93333,51.7516,2.38192,0.0656225,0.238322,0.00475587,0.000389609,0.00467462,3.94949,50.7087
"3",2.29661,0.0482676,0.213368,0.00612187,0.000401471,0.00395496,4.03831,50.9134,2.53666,0.0509517,0.253326,0.00555673,0.000385858,0.00562596,3.41494,51.0198,2.2265,0.0633674,0.193102,0.00498131,0.000403896,0.00405261,3.92384,51.7164,2.22197,0.0488363,0.24178,0.00696061,0.000470978,0.00539708,4.07454,50.6099
"4",2.16132,0.0312911,0.214844,0.00764955,0.000459713,0.00504025,3.57535,50.3024,1.99884,0.0977819,0.195421,0.0010197,0.000510797,0.00448308,4.11817,49.3303,2.02771,0.0897391,0.200431,0.000900553,0.000418924,0.00459743,3.77006,47.8466,2.27694,0.0342521,0.208448,0.00762385,0.000505427,0.00470761,3.76412,50.6864
"5",1.92295,0.0929658,0.184597,0.00181915,0.000507115,0.00446691,4.0104,49.4164,2.43532,0.0203028,0.225712,0.00948829,0.000499594,0.00503125,3.73006,51.3016,2.14009,0.0403947,0.212869,0.00736842,0.000418764,0.00489415,4.03077,49.6168,2.16915,0.0789955,0.218303,0.00413108,0.00062577,0.00467172,4.2524,51.2875
"6",2.09543,0.00429901,0.173646,0.00906562,0.000389894,0.00429263,3.55816,49.4877,2.34642,0.0555323,0.227571,0.00486233,0.000438156,0.0048002,3.75143,49.9252,1.9859,0.0436193,0.205557,0.00657451,0.000452066,0.00481088,4.12494,48.5066,2.14348,0.0256565,0.211223,0.00896871,0.000458126,0.00436681,4.5738,47.9534
"7",1.98514,0.0111837,0.185089,0.0100954,0.000537013,0.00407032,4.4161,49.4315,2.28496,0.0547561,0.21655,0.00600928,0.000442241,0.00470115,4.05234,49.772,2.1016,0.109722,0.211948,0.000405232,0.000598678,0.00404043,4.60371,48.639,2.18744,0.09032,0.221199,0.00163209,0.000508072,0.00542819,3.58459,51.1656
"8",2.12225,0.0387512,0.18216,0.00683644,0.00048085,0.00391582,3.96234,50.7127,2.1252,0.0684977,0.208124,0.00433547,0.000451843,0.00465162,3.89166,49.9371,2.22845,0.10617,0.215408,0.000129816,0.000369545,0.00560912,3.49329,49.7406,2.25294,0.0882182,0.223005,0.00233853,0.000509658,0.00537201,3.5612,50.808
"9",1.89423,0.0719761,0.207576,0.00363056,0.00045342,0.00422752,4.53455,47.3398,2.07318,0.0620964,0.20286,0.00424566,0.000478731,0.00500508,3.85349,49.059,2.08834,0.0955055,0.210893,0.000744236,0.000411373,0.00552915,3.3888,50.4214,2.29225,0.0650371,0.210749,0.00471672,0.000455981,0.00499048,3.58153,52.9802
"10",2.11245,0.104943,0.192331,0.00079711,0.000469134,0.00441175,4.17424,48.1005,2.18929,0.0413967,0.207568,0.00707268,0.00058758,0.00474792,4.23786,49.2616,2.27901,0.0675013,0.222559,0.00448986,0.000427864,0.00496088,3.63268,50.6606,2.30566,0.0695858,0.211113,0.00378983,0.000463213,0.00499492,3.49503,52.3671
"11",2.05597,0.0767073,0.232403,0.00280386,0.000419772,0.00463563,4.16739,48.3584,2.19497,0.0454693,0.208157,0.00615612,0.000587881,0.0046833,4.16705,49.1369,2.28156,0.0592997,0.230997,0.00577499,0.000542108,0.00501149,3.84753,50.8172,2.10456,0.0627779,0.213209,0.00425735,0.000322255,0.00414173,4.53524,47.6686
"12",2.15108,0.0170595,0.190294,0.00856325,0.000508753,0.0044613,3.67593,49.096,2.04913,0.0956685,0.185683,0.00236597,0.00042418,0.00421026,4.15229,50.2276,2.01358,0.0554064,0.193207,0.00471801,0.000322703,0.00499377,3.50268,49.1717,2.15474,0.0507445,0.23646,0.00595761,0.000351663,0.00410471,4.46399,47.0427
"13",1.88599,0.0789738,0.190768,0.00300018,0.000405374,0.00441896,4.02897,50.2291,2.08974,0.0920765,0.186161,0.00256537,0.000451719,0.00431126,4.16117,49.9749,2.03592,0.064026,0.191578,0.00359571,0.000312906,0.00496732,3.59539,48.6762,2.13754,0.0443721,0.17664,0.00610767,0.000467176,0.00594594,3.03684,52.5324
"14",2.43484,0.0453889,0.259432,0.00665099,0.000489439,0.00521179,3.98644,49.024,1.91108,0.104489,0.17941,0.0014005,0.000504667,0.00438128,4.15096,50.5163,2.01281,0.0469167,0.188901,0.00608555,0.000343152,0.00488029,3.78147,49.074,2.14042,0.00254607,0.23082,0.0111548,0.000310681,0.00483831,3.81959,48.2364
"15",2.24177,0.0647224,0.212205,0.00475739,0.000436656,0.00442055,4.09638,51.3888,1.95077,0.105768,0.185808,0.000640601,0.000397857,0.00437697,3.84408,49.7434,2.33866,0.0872446,0.241153,0.00271678,0.000544068,0.00442255,4.38443,50.3453,2.21521,0.00394847,0.203497,0.0105055,0.000439396,0.00482877,3.90879,48.1199
"16",2.19081,0.0469199,0.218867,0.00602972,0.000438352,0.00464993,3.95485,49.435,2.00264,0.0944124,0.221067,0.00123425,0.00035899,0.0041694,4.20282,48.5009,2.23338,0.0549743,0.225577,0.00594025,0.000471196,0.00458058,4.18913,48.8275,2.17515,0.00405318,0.209654,0.0101012,0.000433544,0.00472976,3.90061,48.0517
"17",2.02345,0.0772303,0.186063,0.00357215,0.000493133,0.00468949,4.03683,50.0115,2.46788,0.0202902,0.2086,0.00774818,0.000479755,0.00566474,3.40758,51.642,2.08749,0.111054,0.195923,0.000566391,0.00050632,0.00440607,4.0022,51.1205,2.36881,0.111198,0.240045,0.000343245,0.000477848,0.00503178,3.86897,51.8747
"18",2.00125,0.0716785,0.186899,0.0040082,0.000464711,0.00459166,4.00368,50.4479,2.17289,0.0990242,0.211743,0.000848362,0.000444794,0.00414116,4.67435,48.0177,2.05457,0.114534,0.200218,0.000476632,0.000527643,0.00460931,4.00367,52.0904,2.43498,0.0044326,0.234619,0.00970038,0.000317922,0.00429866,3.81181,49.3745
"19",2.00848,0.0851877,0.17203,0.00284879,0.000314738,0.0040074,3.93706,51.2557,2.27535,0.0175801,0.200952,0.0084728,0.00038631,0.00502503,3.48482,50.1341,2.01554,0.119766,0.19823,0.000800885,0.000742801,0.00455063,4.44027,52.3913,2.58394,0.0164363,0.272688,0.00985991,0.000479663,0.00570346,3.47389,50.5487
"20",1.97072,0.100037,0.205188,0.00140153,0.000684471,0.00488828,4.31557,48.4869,2.21811,0.0452392,0.194697,0.00681214,0.000530762,0.00480011,3.83818,51.3774,1.9551,0.00541661,0.190855,0.00998874,0.000285066,0.0042517,4.17805,46.9715,1.9099,0.113274,0.176447,0.000474506,0.000362954,0.00444681,4.06825,49.5528
"21",2.1738,0.0932827,0.20347,0.00203774,0.000330919,0.0043235,3.98621,51.4665,2.07946,0.0791557,0.228179,0.00279493,0.000395251,0.00537462,3.72259,50.7926,2.37731,0.104307,0.244989,0.000903583,0.000493943,0.00456066,4.09166,52.2633,2.46357,0.0131777,0.23452,0.0102795,0.000533961,0.00498575,3.73104,50.9696
"22",2.25464,0.100421,0.198537,0.00115976,0.00038117,0.00394643,3.73754,51.6823,2.18685,0.0243461,0.208206,0.00751179,0.000408157,0.0046449,3.751,49.3093,2.16919,0.102055,0.236488,9.45299e-05,0.00030824,0.00506997,3.83743,48.0027,2.51562,0.0183403,0.243716,0.00912434,0.000469329,0.00449111,4.02938,51.2909
"23",1.91368,0.100355,0.204093,0.000732174,0.000427809,0.00557112,3.92629,48.8088,2.17108,0.0257815,0.212025,0.00738308,0.000415978,0.00457723,3.66262,49.6931,2.02145,0.00724697,0.17145,0.0100137,0.000578182,0.00483157,4.06772,49.6137,1.9476,0.0912444,0.198754,0.00126246,0.00042823,0.00486616,3.94277,48.4262
"24",2.42066,0.0450362,0.252917,0.00659033,0.000349222,0.00505571,3.67695,51.7293,2.13866,0.0216725,0.189564,0.00806476,0.000439692,0.00505156,3.82384,50.1658,2.12706,0.0377698,0.190717,0.00699635,0.000445069,0.00479209,3.93978,48.4096,2.12211,0.0487938,0.205237,0.00670702,0.000581108,0.00457195,4.21364,48.9417
"25",1.86894,0.0654015,0.190539,0.00487814,0.000526591,0.004799,4.41125,48.3394,2.24982,0.0618868,0.224938,0.00376306,0.000433649,0.00500563,3.60982,48.9632,2.11072,0.0426836,0.220209,0.00664089,0.00044036,0.00460964,3.95257,49.13,2.25836,0.00990452,0.224491,0.0110288,0.000629049,0.00500539,4.15835,49.6022
"26",2.39653,0.0961863,0.235621,0.00160464,0.000459908,0.00405486,4.09587,51.7766,2.24169,0.055228,0.227684,0.00628228,0.000535568,0.00473335,4.32991,50.0447,2.09003,0.0388359,0.189653,0.0076139,0.000406697,0.00480891,4.08349,49.468,2.17444,0.0155037,0.20271,0.00916068,0.000364985,0.0045261,3.89761,50.497
"27",2.00791,0.0508483,0.189799,0.00564355,0.000569035,0.00490461,4.22872,47.3575,2.19383,0.058398,0.194962,0.00488327,0.000493208,0.00466873,3.77659,50.0139,1.95547,0.0435295,0.192526,0.00680344,0.000413773,0.00450196,3.92187,48.9806,2.17792,0.0260981,0.203567,0.00808377,0.000347841,0.00450131,3.836,50.0667
"28",2.1606,0.0864548,0.200779,0.00305268,0.000394324,0.00417232,3.9404,51.6885,2.05248,0.080471,0.185642,0.00315569,0.00049583,0.00440249,3.79618,49.3453,2.1812,0.0349131,0.19185,0.00718929,0.000619469,0.00407696,4.06411,51.6665,2.18831,0.0832328,0.224525,0.00250158,0.000527596,0.00451049,4.12638,49.9171
"29",2.02403,0.0975185,0.191442,0.00159393,0.00048702,0.00464172,3.90571,50.9785,2.06889,0.0750173,0.17736,0.00352677,0.000538129,0.00470207,3.7734,48.656,2.25776,0.0535405,0.194043,0.00676398,0.000589485,0.00434885,4.19757,51.1142,2.22553,0.094248,0.22459,0.00275375,0.000490753,0.00475015,4.26113,51.3371
"30",2.02055,0.102162,0.187503,0.00184917,0.000496837,0.00469167,3.8742,51.2591,2.29903,0.00529322,0.224866,0.010918,0.000397135,0.00446492,4.18803,50.4964,2.07216,0.0973081,0.206007,0.00184636,0.000512598,0.00496122,4.17259,49.6997,2.24677,0.099567,0.215519,0.000117915,0.000435745,0.00521128,3.59839,49.3833
"31",2.07595,0.0906587,0.197421,0.00156516,0.000404653,0.00463929,3.89651,49.9884,1.92785,0.0976769,0.210535,0.000883756,0.000455152,0.00530325,3.90794,49.9622,2.13123,0.0257322,0.196928,0.00777174,0.000349439,0.00474228,3.54489,50.4626,2.20299,0.0951983,0.242351,0.000248267,0.000324598,0.00558218,3.76248,48.9808
"32",1.87502,0.0933407,0.17636,0.00127742,0.000553388,0.00516086,3.51825,49.5833,2.21045,0.040905,0.216118,0.00718811,0.000489642,0.00424188,4.36368,49.3634,2.45726,0.0947382,0.264183,0.00248675,0.000507676,0.00486089,4.52339,49.1629,2.35652,0.0664469,0.21467,0.00545803,0.000542459,0.00512399,3.80878,51.6364
