"","k_cDD","degDD","hillDD","k_inter","maxdeath","k_hillnec","p","h"
"1",0.264252,0.0424204,0.00437758,0.042969,1.56004,5.18732,0.746582,22.8809
"2",0.265803,0.0407318,0.00417524,0.0443632,0.890655,5.317,0.849198,23.5866
"3",0.248013,0.0402664,0.00353789,0.0542276,0.993533,5.1041,0.946275,26.3296
"4",0.262662,0.0410685,0.00356551,0.0628295,1.2362,5.29227,0.787763,26.5766
"5",0.247919,0.0377634,0.00481108,0.049685,1.12696,5.15062,0.773933,22.2859
"6",0.227747,0.0332324,0.00341635,0.0917999,0.991848,5.13846,0.715089,27.0781
"7",0.225882,0.0325674,0.00368992,0.0887209,0.975873,5.11235,0.723618,26.3429
"8",0.232645,0.0339525,0.00327169,0.0918315,1.26549,5.3552,0.903527,25.9843
"9",0.229017,0.0344541,0.00373699,0.0816993,0.81234,5.05778,0.947758,26.0578
"10",0.271199,0.0448447,0.00372576,0.0515314,1.15814,5.06173,0.710498,26.3792
"11",0.2893,0.0495618,0.00343039,0.0332645,0.476938,4.86521,0.711617,27.1986
"12",0.308637,0.0568799,0.00267716,0.0297,1.74499,5.04377,0.800744,29.3157
"13",0.281219,0.0480183,0.00340024,0.0376276,0.943433,5.05887,0.755008,26.1308
"14",0.241859,0.0377555,0.00319752,0.0734162,1.14671,5.23091,0.879871,26.926
"15",0.242962,0.0376802,0.0034911,0.0693374,0.913161,5.10176,0.796361,27.7985
"16",0.253066,0.0416314,0.00319311,0.0570075,1.03425,5.08554,0.753484,27.6383
"17",0.316916,0.0596169,0.00252404,0.0221287,0.94416,4.84968,0.777431,28.46
"18",0.307546,0.0567165,0.00280484,0.0294913,0.80483,4.8596,0.769979,28.9039
"19",0.314555,0.0575516,0.00265369,0.0267546,0.890573,4.94749,0.875283,30.3828
"20",0.23839,0.0377515,0.00290682,0.0862754,1.23571,5.08996,0.714351,28.7894
"21",0.280936,0.0470862,0.00367846,0.0422917,1.0625,5.13704,0.962056,26.4697
"22",0.262435,0.0389163,0.00444495,0.0581582,1.10986,5.37875,0.938429,24.3608
"23",0.229556,0.0343514,0.00338096,0.0820553,0.789812,5.04518,0.702692,27.4431
"24",0.260936,0.0422858,0.00338379,0.0547417,1.4242,5.25968,0.924249,27.1885
"25",0.271962,0.0437264,0.00375891,0.0445787,1.02931,5.21307,0.775928,25.5021
"26",0.228637,0.032944,0.00365496,0.0908254,0.793938,5.0896,0.735611,27.1909
"27",0.27539,0.0465313,0.00320901,0.0472463,0.991572,5.11394,0.843397,27.7218
"28",0.275857,0.0476604,0.00348758,0.040089,0.849848,4.93979,0.747807,26.4136
"29",0.315691,0.0560975,0.00307699,0.0245781,0.688478,4.88998,0.764462,28.3151
"30",0.31078,0.057143,0.00273919,0.0231332,0.989003,4.92675,0.727514,26.2941
"31",0.344426,0.064015,0.00198376,0.0129044,1.21428,5.02754,0.721991,25.7403
"32",0.351639,0.0638447,0.00244424,0.0142752,0.964585,5.01376,0.708871,23.9949
"33",0.314955,0.058025,0.00251456,0.0167854,0.686235,4.76035,0.705856,27.1265
"34",0.239996,0.0348085,0.00342056,0.0860833,0.821863,5.31803,0.94735,26.6549
"35",0.229419,0.035927,0.00311703,0.084638,1.12471,4.99614,0.727473,29.0455
"36",0.228135,0.0356556,0.00321251,0.0769044,1.18117,5.02144,0.726328,28.7937
"37",0.255409,0.0378025,0.00332028,0.0780442,0.898959,5.31384,0.713923,28.0857
"38",0.252506,0.037287,0.00349087,0.0718865,0.938939,5.31516,0.711461,27.5073
"39",0.241282,0.0373015,0.00323558,0.085066,1.73023,5.18681,0.736771,28.464
"40",0.267199,0.0457702,0.00305658,0.0443534,0.534154,4.95106,0.880742,28.4183
"41",0.249302,0.0393424,0.00377368,0.0552105,1.07363,5.10375,0.707354,26.0243
"42",0.27217,0.0439565,0.00326535,0.0548468,1.24108,5.25212,0.75589,28.4171
"43",0.264521,0.0449129,0.00357522,0.0471214,0.95646,5.01258,0.916351,26.1348
"44",0.253594,0.0396203,0.00366094,0.061658,0.884829,5.1472,0.792708,26.5301
"45",0.287333,0.0483908,0.00386666,0.0317072,0.850271,4.97537,0.707026,24.616
