"","mean","sd","rhat"
"lp__",-279.401714,2.46179233492546,1.00054574166973
"k_cDD",0.265584936125,0.0257450696981535,1.00095797892089
"degDD",0.04351993051875,0.00718219000988211,1.00108087884094
"hillDD",0.003449729898125,0.000566307798511043,1.00078722105945
"k_inter",0.053240204440625,0.0203334021267796,1.00085069940567
"maxdeath",1.0016031863375,0.292380499115844,1.00005453124123
"k_hillnec",5.093761405625,0.152019380323218,1.0003268539691
"p",0.78302645975,0.0661794461156834,1.00005471139153
"h",26.90581555,2.6099113424967,1.00085642828164
"nu_DD",2.13877609625,0.141892453567339,1.00046308410344
"nu_NEC",9.375717340625,2.23229780455782,1.00016641734808
"sol3[1,1]",0.18992,0,NA
"sol3[2,1]",0.116001,0,NA
"sol3[3,1]",0.0377917,0,NA
"sol3[4,1]",0.0137205,0,NA
"sol3[5,1]",0.00899148,0,NA
"sol3[6,1]",0.00548476,0,NA
"sol3[7,1]",0.00498903,0,NA
"sol3[8,1]",0.00160335,0,NA
"sol3[9,1]",-0.00125815,0,NA
"sol3[10,1]",-0.00367601,0,NA
"sol3[11,1]",-0.00571896,0,NA
"sol3[12,1]",-0.0074434,0,NA
"sol3[13,1]",-0.00889557,0,NA
"sol3[14,1]",-0.0101182,0,NA
"sol3[15,1]",-0.0111468,0,NA
"sol3[16,1]",-0.012011,0,NA
"sol3[17,1]",-0.0127352,0,NA
"sol3[18,1]",-0.0133399,0,NA
"sol3[19,1]",-0.0147693,0,NA
"sol3[20,1]",-0.0150259,0,NA
"sol3[21,1]",-0.0151006,0,NA
"sol3[22,1]",-0.0152356,0,NA
"sol3[23,1]",-0.0154049,0,NA
"sol3[24,1]",-0.015539,0,NA
"sol3[25,1]",-0.0156442,0,NA
"sol3[26,1]",-0.0157255,0,NA
"sol3[27,1]",-0.0157865,0,NA
"sol3[28,1]",-0.0158294,0,NA
"sol3[29,1]",-0.0158566,0,NA
"sol3[30,1]",-0.0158715,0,NA
"sol3[31,1]",-0.0158765,0,NA
"sol3[32,1]",-0.0158728,0,NA
"sol3[33,1]",-0.0158605,0,NA
"sol3[34,1]",-0.0158413,0,NA
"sol3[35,1]",-0.0157457,0,NA
"sol3[1,2]",0.596846,0,NA
"sol3[2,2]",0.59149,0,NA
"sol3[3,2]",0.58082,0,NA
"sol3[4,2]",0.573949,0,NA
"sol3[5,2]",0.571979,0,NA
"sol3[6,2]",0.570276,0,NA
"sol3[7,2]",0.570014,0,NA
"sol3[8,2]",0.568056,0,NA
"sol3[9,2]",0.566103,0,NA
"sol3[10,2]",0.564156,0,NA
"sol3[11,2]",0.562216,0,NA
"sol3[12,2]",0.560282,0,NA
"sol3[13,2]",0.558354,0,NA
"sol3[14,2]",0.556432,0,NA
"sol3[15,2]",0.554517,0,NA
"sol3[16,2]",0.552608,0,NA
"sol3[17,2]",0.550705,0,NA
"sol3[18,2]",0.548809,0,NA
"sol3[19,2]",0.54216,0,NA
"sol3[20,2]",0.540293,0,NA
"sol3[21,2]",0.539672,0,NA
"sol3[22,2]",0.538432,0,NA
"sol3[23,2]",0.536578,0,NA
"sol3[24,2]",0.534729,0,NA
"sol3[25,2]",0.532887,0,NA
"sol3[26,2]",0.531052,0,NA
"sol3[27,2]",0.529222,0,NA
"sol3[28,2]",0.527399,0,NA
"sol3[29,2]",0.525583,0,NA
"sol3[30,2]",0.523772,0,NA
"sol3[31,2]",0.521968,0,NA
"sol3[32,2]",0.52017,0,NA
"sol3[33,2]",0.518378,0,NA
"sol3[34,2]",0.516592,0,NA
"sol3[35,2]",0.510683,0,NA
"sol3[1,3]",0.00161435,0,NA
"sol3[2,3]",0.00107102,0,NA
"sol3[3,3]",0.000494133,0,NA
"sol3[4,3]",0.000316226,0,NA
"sol3[5,3]",0.000280774,0,NA
"sol3[6,3]",0.000254017,0,NA
"sol3[7,3]",0.000250281,0,NA
