"","k_kidDD","d_DD","maxdeath","hillDD","k_hillnec","d_CD","k_CDINF","d_INF","k_INFKF","hillKF","h1","INF0"
"1",0.157514,0.0519077,12.4766,35.9445,4.59069,0.00707651,0.212562,0.0112654,0.0876896,14.2498,9.23993,0.000387411
"2",0.156462,0.0681746,12.3238,38.6344,3.96413,0.00812615,0.289961,0.0109504,0.0294369,11.545,7.94589,0.000459305
"3",0.162678,0.0671277,12.7159,37.9536,3.93494,0.008725,0.241872,0.0102503,0.0239791,10.6631,8.3137,0.00113543
"4",0.202959,0.0629565,13.5273,44.3898,4.62122,0.00528233,0.361021,0.0161719,0.0744018,15.8261,9.47121,8.4218e-05
"5",0.185225,0.0626103,13.4437,42.5941,4.36229,0.00781507,0.374323,0.0146098,0.088693,14.6496,9.0127,0.000175968
"6",0.159123,0.0631183,13.1595,40.6523,4.02405,0.00368109,0.216869,0.0134574,0.0451625,11.7211,8.85019,0.000451204
"7",0.195682,0.0698805,12.4656,36.4516,5.00255,0.00702688,0.258774,0.0101271,0.0647668,14.1827,8.00901,0.000269518
"8",0.114029,0.0434498,13.3539,46.8782,3.48568,0.00496175,0.191159,0.0132661,0.0596124,12.7129,9.75125,0.000445259
"9",0.164006,0.0534994,12.4642,36.5062,4.61049,0.00661665,0.172642,0.00811196,0.0778109,14.6774,9.51179,0.000206389
"10",0.183268,0.0722692,13.4807,46.4979,3.91679,0.00371573,0.377401,0.0166706,0.050086,13.1168,8.99819,0.000882341
"11",0.156347,0.0654452,13.8549,39.7236,3.71321,0.00292059,0.313077,0.0187008,0.0196406,10.1112,9.53751,0.000438375
"12",0.187917,0.0753982,12.9758,45.0065,4.05165,0.00717221,0.274078,0.0122004,0.0238899,10.3178,7.94464,0.000651005
"13",0.164176,0.0623823,12.0932,34.9397,4.03806,0.0109284,0.247571,0.0105838,0.025054,9.99486,8.76147,0.000200692
"14",0.147784,0.0573709,12.5692,34.8953,4.2985,0.0087401,0.355466,0.0157364,0.0191287,9.79412,8.18569,0.000168124
"15",0.299092,0.112658,13.5511,42.5467,4.67021,0.00403664,0.221215,0.0117821,0.0732429,15.1834,7.95043,0.000121508
