sample_id	experiment	time	time_unit	conc_unit	conc_level	module	module_size	eg_score	moduleCoverage	moduleCoveragePercetage
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_1	2747	1.33248846115285	1449	52.7
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_2m	1123	-2.52828785953026	970	86.4
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_3m	609	-1.82240255221932	511	83.9
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_5m	318	-1.97321876948826	283	89
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_6m	244	-4.81182748217519	201	82.4
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_7m	221	-2.20307871325108	195	88.2
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_8m	145	-4.51197378809221	124	85.5
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_9m	165	-1.22508042828391	147	89.1
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_10m	118	-4.14323564214611	111	94.1
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_12m	135	-2.44795225764187	121	89.6
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_13	81	-4.12252072260865	73	90.1
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_14m	87	-2.46984881199008	77	88.5
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_15	77	1.94085398487473	38	49.4
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_16m	80	-2.47432556163594	61	76.2
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_18m	103	-1.30133228543247	86	83.5
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_19	57	-4.93984620869459	55	96.5
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_21	45	-0.839541920626532	38	84.4
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_22	45	-0.440632051182785	39	86.7
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_23m	60	-3.13612536436298	53	88.3
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_25m	60	-2.74757067418602	51	85
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_26m	64	-2.62538512435633	56	87.5
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_28m	82	-1.19896086427975	70	85.4
uploadFile1_SINGLE_1_24_1	uploadFile1_1	24	day	concUnit	1	rKIDNEY_29	37	-3.39902812173598	33	89.2
