sample_id	experiment	time	time_unit	conc_unit	conc_level	module	module_size	eg_score	moduleCoverage	moduleCoveragePercetage
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_1	2747	2.37304857070659	1461	53.2
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_2m	1123	4.88753548654066	976	86.9
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_3m	609	-6.6230609715984	512	84.1
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_5m	318	7.47983521018109	288	90.6
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_6m	244	2.40736789054334	202	82.8
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_7m	221	6.11023518864735	202	91.4
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_8m	145	2.40109328025235	124	85.5
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_9m	165	-5.22186560981365	146	88.5
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_10m	118	7.183618665178	111	94.1
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_12m	135	6.33029875925895	122	90.4
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_13	81	-1.92410111469984	73	90.1
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_14m	87	-5.25763326710521	77	88.5
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_15	77	0.997195982464698	38	49.4
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_16m	80	2.40204750471143	61	76.2
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_18m	103	1.04154006337834	86	83.5
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_19	57	4.61928342445405	55	96.5
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_21	45	-1.58570070295248	39	86.7
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_22	45	2.14040605402206	38	84.4
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_23m	60	8.10450232168204	55	91.7
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_25m	60	-2.59205355442676	50	83.3
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_26m	64	-2.63926381124105	57	89.1
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_28m	82	-2.88146274347307	72	87.8
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_29	37	2.04778627159997	33	89.2
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_30m	56	-0.845884632855061	48	85.7
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_31m	53	7.12812624887701	46	86.8
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_32m	74	1.32343350129911	69	93.2
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_33	34	1.73687547806021	29	85.3
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_34m	47	3.28021394846304	45	95.7
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_35m	47	1.64081088141141	31	66
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_36m	60	1.60578410499302	52	86.7
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_37m	74	-0.961672583934382	64	86.5
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_38m	47	4.18567412267361	42	89.4
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_39m	55	5.80923809549624	51	92.7
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_40m	50	1.87249595132765	47	94
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_41m	44	4.01090969396545	38	86.4
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_42m	75	4.94086444641438	69	92
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_43m	54	-1.26826093456032	48	88.9
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_44	29	1.82802183450821	24	82.8
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_45m	46	6.7384063421304	43	93.5
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_46	27	3.74448332694267	25	92.6
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_51m	38	9.90979181796045	31	81.6
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_53	25	0.251582816781681	21	84
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_54	25	-4.68472378778038	22	88
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_55	25	-1.01111446837182	22	88
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_56	24	4.17626403635705	23	95.8
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_57m	35	4.47359000089897	27	77.1
uploadFile1_SINGLE_1_120_5	uploadFile1_1	120	day	concUnit	3	rKIDNEY_58m	32	-2.94648955371442	28	87.5
